ref_hash,obj
1000169251625791246_sc,256063.1562814287
1000169251625791246_st,80409.18839090836
1000395625957344683_sc,249026.87487713282
1000395625957344683_st,59123.78153342748
1003027494996471685_sc,254236.78213463133
1003027494996471685_st,26104.56645949954
1006670001679961544_sc,249616.48542224476
1006670001679961544_st,121795.05680776715
1007573308966476713_sc,249616.48542224476
1007573308966476713_st,65645.83787492882
1010070503877148763_sc,67921.54436294196
1010070503877148763_st,239011.0258135338
1010265377387765028_sc,246148.97366152672
1010265377387765028_st,237142.19330298825
1010531372912327058_sc,249255.07576998998
1010531372912327058_st,110705.84375991175
1011610998357271358_sc,248290.05034051483
1011610998357271358_st,82553.42749833604
1013543838965040946_sc,142619.66732307515
1013543838965040946_st,39528.36737438127
1014428234021750342_sc,249574.1839402541
1014428234021750342_st,75022.90304207146
101763096421653092_sc,96821.86728429403
101763096421653092_st,157576.98791541392
1017668882534236751_sc,246600.66345034377
1017668882534236751_st,94451.02008686491
1017958004932387739_sc,220242.42703297752
1017958004932387739_st,44760.02676477714
1018126962792619181_sc,148749.678243696
1018126962792619181_st,239486.5230727251
1021582875881379650_sc,227682.45933328228
1021582875881379650_st,239442.15009671904
1022093956983448460_sc,90136.45883489601
1022093956983448460_st,237642.79861672447
1022155574388897311_sc,249678.90356880907
1022155574388897311_st,25050.292051133394
1024792555410741306_sc,254447.953687966
1024792555410741306_st,239843.80595300134
1026825193119998092_sc,249616.48542224476
1026825193119998092_st,75119.14150772952
1030603044158081433_sc,249805.9850119437
1030603044158081433_st,75599.45902223543
1030865855693267844_sc,246148.97366152672
1030865855693267844_st,237142.19330298825
1032938399279723623_sc,148674.97145350158
1032938399279723623_st,84255.51742705521
1036919443887988520_sc,102398.62962849403
1036919443887988520_st,157576.98791541392
1037575899869926_sc,108917.19872678514
1037575899869926_st,69404.5646650801
1042912100594917197_sc,44404.57614110788
1042912100594917197_st,86286.49113777785
104412862089502190_sc,246148.97366152672
104412862089502190_st,237142.19330298825
1048460865075142817_sc,140688.52512722058
1048460865075142817_st,158539.31413702335
1048487908287530052_sc,249751.1511939612
1048487908287530052_st,41032.7192735045
1048782984015604883_sc,250913.42945737566
1048782984015604883_st,237497.43850073076
1052346027668414186_sc,142696.71238693374
1052346027668414186_st,63401.30236536993
1052782935269141271_sc,146511.3348347463
1052782935269141271_st,237142.19330298825
105337483767914646_sc,257476.32346571467
105337483767914646_st,88788.78133179962
1053399148291039201_sc,249688.7330473969
1053399148291039201_st,85289.40458915915
1054881396892383323_sc,248651.4599927696
1054881396892383323_st,80535.83483346166
1055760083915480820_sc,249616.48542224476
1055760083915480820_st,52270.11946562615
1056749944537419493_sc,81196.00152941806
1056749944537419493_st,16884.262643775663
1058525390691423513_sc,248651.4599927696
1058525390691423513_st,87869.11734481837
1062274422372114651_sc,246148.97366152672
1062274422372114651_st,237142.19330298825
